connection_id,source,destination,mode,distance_km,duration_min,cost_inr,co2_kg
C001,Koti,Abids,Walking,2.0,26,0,0.0
C001,Koti,Abids,Bicycle,2.0,9,0,0.0
C001,Koti,Abids,Public Transport,2.0,16,15,0.2
C001,Koti,Abids,Car,2.0,8,35,0.5
C002,Koti,Nampally,Walking,3.0,38,0,0.0
C002,Koti,Nampally,Bicycle,3.0,13,0,0.0
C002,Koti,Nampally,Public Transport,3.0,22,15,0.3
C002,Koti,Nampally,Car,3.0,11,45,0.7
C003,Koti,Charminar,Walking,4.0,50,0,0.0
C003,Koti,Charminar,Bicycle,4.0,17,0,0.0
C003,Koti,Charminar,Public Transport,4.0,28,20,0.4
C003,Koti,Charminar,Car,4.0,14,65,0.9
C004,Abids,Nampally,Walking,1.5,19,0,0.0
C004,Abids,Nampally,Bicycle,1.5,7,0,0.0
C004,Abids,Nampally,Public Transport,1.5,12,15,0.2
C004,Abids,Nampally,Car,1.5,6,30,0.4
C005,Abids,Charminar,Walking,3.0,38,0,0.0
C005,Abids,Charminar,Bicycle,3.0,13,0,0.0
C005,Abids,Charminar,Public Transport,3.0,22,15,0.3
C005,Abids,Charminar,Car,3.0,11,45,0.7
C006,Nampally,Mehdipatnam,Walking,5.0,64,0,0.0
C006,Nampally,Mehdipatnam,Bicycle,5.0,22,0,0.0
C006,Nampally,Mehdipatnam,Public Transport,5.0,35,20,0.5
C006,Nampally,Mehdipatnam,Car,5.0,18,70,1.0
C007,Nampally,Ameerpet,Walking,4.0,50,0,0.0
C007,Nampally,Ameerpet,Bicycle,4.0,17,0,0.0
C007,Nampally,Ameerpet,Public Transport,4.0,28,20,0.4
C007,Nampally,Ameerpet,Car,4.0,13,60,0.8
C008,Mehdipatnam,Charminar,Walking,6.0,76,0,0.0
C008,Mehdipatnam,Charminar,Bicycle,6.0,25,0,0.0
C008,Mehdipatnam,Charminar,Public Transport,6.0,42,25,0.6
C008,Mehdipatnam,Charminar,Car,6.0,21,90,1.2
C009,Mehdipatnam,Banjara Hills,Walking,4.0,51,0,0.0
C009,Mehdipatnam,Banjara Hills,Bicycle,4.0,17,0,0.0
C009,Mehdipatnam,Banjara Hills,Public Transport,4.0,30,20,0.4
C009,Mehdipatnam,Banjara Hills,Car,4.0,15,70,0.8
C010,Ameerpet,Begumpet,Walking,3.5,44,0,0.0
C010,Ameerpet,Begumpet,Bicycle,3.5,15,0,0.0
C010,Ameerpet,Begumpet,Public Transport,3.5,25,15,0.3
C010,Ameerpet,Begumpet,Car,3.5,12,55,0.6
C011,Ameerpet,Banjara Hills,Walking,4.0,51,0,0.0
C011,Ameerpet,Banjara Hills,Bicycle,4.0,17,0,0.0
C011,Ameerpet,Banjara Hills,Public Transport,4.0,29,20,0.4
C011,Ameerpet,Banjara Hills,Car,4.0,14,65,0.8
C012,Begumpet,Secunderabad,Walking,4.0,51,0,0.0
C012,Begumpet,Secunderabad,Bicycle,4.0,17,0,0.0
C012,Begumpet,Secunderabad,Public Transport,4.0,29,15,0.4
C012,Begumpet,Secunderabad,Car,4.0,14,55,0.8
C013,Begumpet,Jubilee Hills,Walking,5.0,64,0,0.0
C013,Begumpet,Jubilee Hills,Bicycle,5.0,21,0,0.0
C013,Begumpet,Jubilee Hills,Public Transport,5.0,35,20,0.5
C013,Begumpet,Jubilee Hills,Car,5.0,18,70,1.0
C014,Banjara Hills,Jubilee Hills,Walking,3.0,38,0,0.0
C014,Banjara Hills,Jubilee Hills,Bicycle,3.0,13,0,0.0
C014,Banjara Hills,Jubilee Hills,Public Transport,3.0,22,15,0.3
C014,Banjara Hills,Jubilee Hills,Car,3.0,11,50,0.6
C015,Jubilee Hills,HITEC City,Walking,6.0,76,0,0.0
C015,Jubilee Hills,HITEC City,Bicycle,6.0,25,0,0.0
C015,Jubilee Hills,HITEC City,Public Transport,6.0,42,25,0.6
C015,Jubilee Hills,HITEC City,Car,6.0,19,90,1.2
C016,Jubilee Hills,Gachibowli,Walking,5.0,64,0,0.0
C016,Jubilee Hills,Gachibowli,Bicycle,5.0,21,0,0.0
C016,Jubilee Hills,Gachibowli,Public Transport,5.0,35,20,0.5
C016,Jubilee Hills,Gachibowli,Car,5.0,18,75,1.0
